name	version
NM_000014	5
NM_000015	2
NM_000016	5
NM_000017	3
NM_000018	3
NM_000019	3
NM_000020	2
NM_000021	3
NM_000022	3
NM_000023	3
NM_000024	5
NM_000025	2
NM_000026	3
NM_000027	3
NM_000028	2
NM_000029	3
NM_000030	2
NM_000031	5
NM_000032	4
NM_000033	3
NM_000034	3
NM_000035	3
NM_000036	2
NM_000037	3
NM_000038	5
NM_000039	2
NM_000040	1
NM_000041	3
NM_000042	2
NM_000043	5
NM_000044	4
NM_000045	3
NM_000046	3
NM_000047	2
NM_000048	3
NM_000049	2
NM_000050	4
NM_000051	3
NM_000052	6
NM_000053	3
NM_000054	4
NM_000055	3
NM_000056	4
NM_000057	3
NM_000059	3
NM_000060	4
NM_000061	2
NM_000062	2
NM_000063	5
NM_000064	3
NM_000065	3
NM_000066	3
NM_000067	2
NM_000068	3
NM_000069	2
NM_000070	2
NM_000071	2
NM_000072	3
NM_000073	2
NM_000074	2
NM_000075	3
NM_000076	2
NM_000077	4
NM_000078	2
NM_000079	3
NM_000080	3
NM_000081	3
NM_000082	3
NM_000083	2
NM_000084	4
NM_000085	4
NM_000086	2
NM_000087	3
NM_000088	3
NM_000089	3
NM_000090	3
NM_000091	4
NM_000092	4
NM_000093	4
NM_000094	3
NM_000095	2
NM_000096	3
NM_000097	5
NM_000098	2
NM_000099	3
NM_000100	3
NM_000101	3
NM_000102	3
NM_000103	3
NM_000104	3
NM_000106	5
NM_000107	2
NM_000108	4
NM_000109	3
NM_000110	3
NM_000111	2
NM_000112	3
NM_000113	2
NM_000115	4
NM_000116	4
NM_000117	2
NM_000118	3
NM_000119	2
NM_000120	3
NM_000121	3
NM_000122	1
NM_000123	3
NM_000124	3
NM_000125	3
NM_000126	3
NM_000127	2
NM_000128	3
NM_000129	3
NM_000130	4
NM_000131	4
NM_000132	3
NM_000133	3
NM_000134	3
NM_000135	2
NM_000136	2
NM_000137	2
NM_000138	4
NM_000139	4
NM_000140	3
NM_000141	4
NM_000142	4
NM_000143	3
NM_000144	4
NM_000145	3
NM_000146	3
NM_000147	4
NM_000148	3
NM_000149	3
NM_000150	2
NM_000151	3
NM_000152	4
NM_000153	3
NM_000154	1
NM_000155	3
NM_000156	5
NM_000157	3
NM_000158	3
NM_000159	3
NM_000160	4
NM_000161	2
NM_000162	3
NM_000163	4
NM_000164	3
NM_000165	4
NM_000166	5
NM_000167	5
NM_000168	5
NM_000169	2
NM_000170	2
NM_000171	3
NM_000172	3
NM_000173	6
NM_000174	4
NM_000175	4
NM_000176	2
NM_000177	4
NM_000178	3
NM_000179	2
NM_000180	3
NM_000181	3
NM_000182	4
NM_000183	2
NM_000184	2
NM_000185	3
NM_000186	3
NM_000187	3
NM_000188	2
NM_000189	4
NM_000190	3
NM_000191	2
NM_000192	3
NM_000193	3
NM_000194	2
NM_000195	4
NM_000196	3
NM_000197	1
NM_000198	3
NM_000199	3
NM_000200	2
NM_000201	2
NM_000202	7
NM_000203	4
NM_000204	4
NM_000206	2
NM_000207	2
NM_000208	3
NM_000209	3
NM_000210	3
NM_000211	4
NM_000212	2
NM_000213	4
NM_000214	2
NM_000215	3
NM_000216	3
NM_000217	2
NM_000218	2
NM_000219	5
NM_000220	4
NM_000221	2
NM_000222	2
NM_000223	3
NM_000224	2
NM_000226	3
NM_000227	4
NM_000228	2
NM_000229	1
NM_000230	2
NM_000231	2
NM_000232	4
NM_000233	3
NM_000234	2
NM_000235	3
NM_000236	2
NM_000237	2
NM_000238	3
NM_000239	2
NM_000240	3
NM_000242	2
NM_000243	2
NM_000244	3
NM_000245	3
NM_000246	3
NM_000247	2
NM_000248	3
NM_000249	3
NM_000250	1
NM_000251	2
NM_000252	2
NM_000253	3
NM_000254	2
NM_000255	3
NM_000256	3
NM_000257	3
NM_000258	2
NM_000259	3
NM_000260	3
NM_000261	1
NM_000262	2
NM_000263	3
NM_000264	3
NM_000265	5
NM_000266	3
NM_000267	3
NM_000268	3
NM_000269	2
NM_000270	3
NM_000271	4
NM_000272	3
NM_000273	2
NM_000274	3
NM_000275	2
NM_000276	3
NM_000277	1
NM_000278	4
NM_000280	4
NM_000281	3
NM_000282	3
NM_000283	3
NM_000284	3
NM_000285	3
NM_000286	2
NM_000287	3
NM_000288	3
NM_000289	5
NM_000290	3
NM_000291	3
NM_000292	2
NM_000293	2
NM_000294	2
NM_000295	4
NM_000296	3
NM_000297	3
NM_000298	5
NM_000299	3
NM_000300	3
NM_000301	3
NM_000302	3
NM_000303	2
NM_000304	3
NM_000305	2
NM_000306	3
NM_000307	4
NM_000308	3
NM_000309	4
NM_000310	3
NM_000311	4
NM_000312	3
NM_000313	3
NM_000314	6
NM_000315	3
NM_000316	2
NM_000317	2
NM_000318	2
NM_000319	4
NM_000320	2
NM_000321	2
NM_000322	4
NM_000324	2
NM_000325	5
NM_000326	4
NM_000327	3
NM_000328	2
NM_000329	2
NM_000330	3
NM_000331	5
NM_000332	3
NM_000333	3
NM_000334	4
NM_000335	4
NM_000336	2
NM_000337	5
NM_000338	2
NM_000339	2
NM_000340	1
NM_000341	3
NM_000342	3
NM_000343	3
NM_000344	3
NM_000345	3
NM_000346	3
NM_000347	5
NM_000348	3
NM_000349	2
NM_000350	2
NM_000351	5
NM_000352	4
NM_000353	2
NM_000354	5
NM_000355	3
NM_000356	3
NM_000358	2
NM_000359	2
NM_000360	3
NM_000361	2
NM_000362	4
NM_000363	4
NM_000364	3
NM_000365	5
NM_000366	5
NM_000367	4
NM_000368	4
NM_000369	2
NM_000370	3
NM_000371	3
NM_000372	4
NM_000373	3
NM_000374	4
NM_000375	2
NM_000376	2
NM_000377	2
NM_000378	4
NM_000379	3
NM_000380	3
NM_000381	3
NM_000382	2
NM_000383	3
NM_000384	2
NM_000386	3
NM_000387	5
NM_000388	3
NM_000389	4
NM_000390	3
NM_000391	3
NM_000392	4
NM_000393	4
NM_000394	3
NM_000395	2
NM_000396	3
NM_000397	3
NM_000398	6
NM_000399	4
NM_000400	3
NM_000401	3
NM_000402	4
NM_000403	3
NM_000404	3
NM_000405	4
NM_000406	2
NM_000407	4
NM_000408	4
NM_000409	4
NM_000410	3
NM_000411	6
NM_000412	4
NM_000413	3
NM_000414	3
NM_000415	2
NM_000416	2
NM_000417	2
NM_000418	3
NM_000419	4
NM_000420	2
NM_000421	3
NM_000422	2
NM_000423	2
NM_000424	3
NM_000425	4
NM_000426	3
NM_000427	2
NM_000428	2
NM_000429	2
NM_000430	3
NM_000431	3
NM_000432	3
NM_000433	3
NM_000434	3
NM_000435	2
NM_000436	3
NM_000437	3
NM_000438	5
NM_000439	4
NM_000440	2
NM_000441	1
NM_000442	4
NM_000443	3
